X,Y,Z
-5,-5,0.018321301
-4.898989899,-5,0.10803785
-4.797979798,-5,0.042144234
-4.696969697,-5,0.007020413
-4.595959596,-5,0.008115456
-4.494949495,-5,0.046793851
-4.393939394,-5,0.021460444
-4.292929293,-5,0.020958349
-4.191919192,-5,0.123505665
-4.090909091,-5,0.020348172
-3.98989899,-5,0.048363501
-3.888888889,-5,0.167200586
-3.787878788,-5,0.011646101
-3.686868687,-5,0.138411913
-3.585858586,-5,0.115111735
-3.484848485,-5,0.017135269
-3.383838384,-5,0.147893449
-3.282828283,-5,0.034661729
-3.181818182,-5,0.069706208
-3.080808081,-5,0.015750231
-2.97979798,-5,0.166973364
-2.878787879,-5,0.153871592
-2.777777778,-5,0.073142261
-2.676767677,-5,0.057660403
-2.575757576,-5,0.093771532
-2.474747475,-5,0.135790708
-2.373737374,-5,0.177198788
-2.272727273,-5,0.028868128
-2.171717172,-5,0.157630314
-2.070707071,-5,0.087332791
-1.96969697,-5,0.174034511
-1.868686869,-5,0.095188713
-1.767676768,-5,0.139702837
-1.666666667,-5,0.094680848
-1.565656566,-5,0.038507605
-1.464646465,-5,0.045409302
-1.363636364,-5,0.053176649
-1.262626263,-5,0.224404371
-1.161616162,-5,0.047669291
-1.060606061,-5,0.245902868
-0.95959596,-5,0.103165621
-0.858585859,-5,0.175540938
-0.757575758,-5,0.024576414
-0.656565657,-5,0.024483071
-0.555555556,-5,0.103068108
-0.454545455,-5,0.061942187
-0.353535354,-5,0.085224864
-0.252525253,-5,0.060289234
-0.151515152,-5,0.208498289
-0.050505051,-5,0.158541712
0.050505051,-5,0.083803635
0.151515152,-5,0.060561919
0.252525253,-5,0.036672712
0.353535354,-5,0.272878157
0.454545455,-5,0.267428183
0.555555556,-5,0.174296826
0.656565657,-5,0.307562205
0.757575758,-5,0.102297333
0.858585859,-5,0.061485211
0.95959596,-5,0.03362797
1.060606061,-5,0.120439545
1.161616162,-5,0.019452705
1.262626263,-5,0.266506895
1.363636364,-5,0.084431005
1.464646465,-5,0.220932117
1.565656566,-5,0.185688049
1.666666667,-5,0.13525987
1.767676768,-5,0.094766558
1.868686869,-5,0.186227142
1.96969697,-5,0.186923007
2.070707071,-5,0.160482316
2.171717172,-5,0.133379292
2.272727273,-5,0.122091887
2.373737374,-5,0.352448465
2.474747475,-5,0.183234364
2.575757576,-5,0.011000889
